index,office_sought
Committeewoman - St. Louis County,1
Treasurer - Clay County,1
State Representative - District 5 - Missouri House of Representatives,1
Sheriff - Livingston County,1
Associate Commissioner - Miller County,1
Assessor - Ray County,1
Coroner - Bates County,1
Associate Commissioner - Western District - Cooper County,1
Sheriff - Jasper County,1
Associate Commissioner - Osage County,1
Committeeman - Ward 11 - City of St. Louis,1
Associate Commissioner - Eastern - Cole County,1
Assessor - Scott County,1
Auditor - Franklin County,1
Coroner - Polk County,1
Public Administrator - Johnson County,1
Public Administrator - Taney County,1
Sheriff - Gasconade County,1
Sheriff - Platte County,1
State Representative - District 144 - Missouri House of Representatives,1
Public Administrator - Texas County,1
Associate Commissioner - District 1 - Newton County,1
Assessor - Monroe County,1
State Representative - District 38 - Missouri House of Representatives,1
State Representative - District 75 - Missouri House of Representatives,1
Coroner - Pulaski County,1
Sheriff - Daviess County,1
State Representative - District 101 - Missouri House of Representatives,1
State Representative - District 112 - Missouri House of Representatives,1
Sheriff - Monroe County,1
Sheriff - Polk County,1
Public Administrator - Jefferson County,1
Associate Commissioner - District 1 - Stoddard County,1
Sheriff - Audrain County,1
Coroner - Howard County,1
Sheriff - Cedar County,1
Assessor - Pettis County,1
Assessor - Cass County,1
Public Administrator - Lincoln County,1
State Representative - District 116 - Missouri House of Representatives,1
Public Administrator - Marion County,1
State Representative - District 43 - Missouri House of Representatives,1
Associate Commissioner - Pettis County,1
State Representative - District 25 - Missouri House of Representatives,1
Public Administrator - Laclede County,1
Committeeman - Meramec Township - St. Louis County,1
Associate Commissioner - Western - Clay County,1
Committeewoman - Prairie Township - Jackson County,1
Sheriff - Pulaski County,1
Sheriff - Barton County,1
State Representative - District 57 - Missouri House of Representatives,1
Assessor - Cole County,1
Associate Commissioner - District 2 - Platte County,1
County Council - District 4 - Jefferson County,1
Sheriff - Clinton County,1
Associate Commissioner - Platte County,1
State Representative - District 157 - Missouri House of Representatives,1
Sheriff - Howard County,1
Associate Commissioner - Northern District - Warren County,1
Sheriff - Bollinger County,1
County Clerk - Pike County,1
State Representative - District 61 - Missouri House of Representatives,1
State Representative - District 148 - Missouri House of Representatives,1
Sheriff - Christian County,1
Sheriff - Mississippi County,1
State Representative - District 86 - Missouri House of Representatives,1
State Representative - District 26 - Missouri House of Representatives,1
Associate Commissioner - Eastern - Johnson County,1
State Representative - District 124 - Missouri House of Representatives,1
Coroner - Bollinger County,1
Coroner - Scott County,1
State Representative - District 19 - Missouri House of Representatives,1
State Representative - District 3 - Missouri House of Representatives,1
Coroner - Randolph County,1
Associate Commissioner - Lafayette County,1
Committeewoman - Ward 18 - City of St. Louis,1
Associate Commissioner - District 1 - Adair County,1
Public Administrator - Callaway County,1
Public Administrator - Nodaway County,1
Associate Commissioner - Daviess County,1
Sheriff - Benton County,1
Associate Commissioner - Howell County,1
State Representative - District 46 - Missouri House of Representatives,1
State Representative - District 97 - Missouri House of Representatives,1
State Representative - District 52 - Missouri House of Representatives,1
Associate Commissioner - Western District - Pulaski County,1
State Representative - District 68 - Missouri House of Representatives,1
Sheriff - Howell County,1
Associate Commissioner - Taney County,1
Public Administrator - Livingston County,1
Associate Commissioner - Southern - Vernon County,1
Public Administrator - Cass County,1
Associate Commissioner - Eastern - Buchanan County,1
Associate Commissioner - Pike County,1
Assessor - Pike County,1
State Representative - District 162 - Missouri House of Representatives,1
State Representative - District 28 - Missouri House of Representatives,1
Collector of Revenue - Johnson County,1
Treasurer - City of St. Louis,1
Associate Commissioner - Western District - Cole County,1
State Representative - District 41 - Missouri House of Representatives,1
Associate Commissioner - Eastern District - Pettis County,1
State Representative - District 59 - Missouri House of Representatives,1
State Representative - District 67 - Missouri House of Representatives,1
Sheriff - Wayne County,1
Associate Commissioner - Linn County,1
Sheriff - Shelby County,1
State Senator - District 3 - Missouri State Senate,1
Committeewoman - Creve Coeur Township - St. Louis County,1
Assessor - Jefferson County,1
Associate Commissioner - Eastern District - Clay County,1
State Representative - District 73 - Missouri House of Representatives,1
State Representative - District 109 - Missouri House of Representatives,1
Associate Commissioner - District 1 - Dent County,1
State Senator - District 11 - Missouri State Senate,1
Coroner - Webster County,1
Sheriff - Wright County,1
Sheriff - Phelps County,1
Coroner - Stoddard County,1
State Representative - District 42 - Missouri House of Representatives,1
Associate Commissioner - Cass County,1
County Council - St. Charles County,1
State Representative - District 141 - Missouri House of Representatives,1
State Representative - District 55 - Missouri House of Representatives,1
Sheriff - Taney County,1
Assessor - Boone County,1
Sheriff - Ozark County,1
Governor - State of Missouri - Office of the Governor,1
Public Administrator - Lafayette County,1
Associate Commissioner - Randolph County,1
State Representative - District 49 - Missouri House of Representatives,1
Associate Commissioner - McDonald County,1
Sheriff - Stone County,1
Public Administrator - Gentry County,1
Assessor - Clay County,1
Sheriff - Stoddard County,1
State Representative - District 154 - Missouri House of Representatives,1
Sheriff - Buchanan County,1
Sheriff - Franklin County,1
Sheriff - Cole County,1
Sheriff - Miller County,1
Assessor - St. Francois County,1
Public Administrator - Wayne County,1
State Representative - District 152 - Missouri House of Representatives,1
Associate Commissioner - Wright County,1
State Representative - District 142 - Missouri House of Representatives,1
Assessor - Ozark County,1
Committeewoman - Jackson County,1
Coroner - Linn County,1
Public Administrator - Butler County,1
Assessor - Warren County,1
State Representative - District 140 - Missouri House of Representatives,1
Associate Commissioner - Boone County,1
State Senator - District 25 - Missouri State Senate,1
State Representative - District 121 - Missouri House of Representatives,1
Associate Commissioner - Warren County,1
State Representative - District 138 - Missouri House of Representatives,1
Sheriff - Cooper County,1
Committeewoman - Ward 4 - City of St. Louis,1
Associate Commissioner - Western District - Chariton County,1
State Representative - District 66 - Missouri House of Representatives,1
Associate Commissioner - Dent County,1
Sheriff - Scott County,1
Associate Commissioner - Crawford County,1
State Representative - District 63 - Missouri House of Representatives,1
State Representative - District 118 - Missouri House of Representatives,1
Associate Commissioner - Commission District 2 - Cass County,1
Treasurer - St. Francois County,1
Associate Commissioner - District 1 - Greene County,1
Treasurer - Camden County,1
Associate Commissioner - District 2 - Franklin County,1
Associate Commissioner - Iron County,1
Public Administrator - Ripley County,1
Sheriff - St. Clair County,1
State Representative - Missouri House of Representatives,1
Associate Commissioner - Clay County,1
Sheriff - Gentry County,1
Associate Commissioner - St. Clair County,1
Coroner - Cape Girardeau County,1
State Representative - District 87 - Missouri House of Representatives,1
Associate Commissioner - Western District - Ozark County,1
Committeeman - Ward 24 - City of St. Louis,1
Associate Commissioner - Reynolds County,1
State Representative - District 127 - Missouri House of Representatives,1
County Municipal Judge - Franklin County,1
Assessor - Washington County,1
Assessor - Dent County,1
